Education,Occupation,Proficiency,Level of Frustration,Curiosity,Tech Savviness,Tech Flexibility,Level of Intuition,Pain Points,Functional Need,Emotional Need,Product Type
Self-Taught,Architect,8,8,1,2,3,6,4,3,2,Food Delivery App
Professional Training,Lawyer,3,8,6,4,5,6,7,8,0,Augmented Reality App
Bachelor's Degree,Architect,1,2,1,1,3,6,4,3,2,Remote Work Tool
High School,Sales Agent,1,3,6,5,4,6,8,7,6,Project Management Tool
Certification,Graphic Designer,4,9,4,2,6,4,5,8,3,Streaming Service
No Formal Education,Waiter,0,5,2,6,2,4,6,4,3,Mobile App
MBA,Social Media Manager,9,9,10,3,1,2,5,4,3,Food Delivery App
Professional Training,Software Engineer,0,1,9,7,6,4,1,1,6,SaaS Platform
No Formal Education,Sales Agent,0,5,2,4,4,2,1,10,3,Enterprise Software
Doctoral Degree,UX/UI Designer,6,5,2,1,6,3,8,10,1,Web Application
Doctoral Degree,Event Planner,4,0,4,6,5,3,7,9,0,Music Production Software
MBA,Photographer,8,5,0,3,6,6,1,9,10,HR Management Software
PhD,Engineer,2,2,5,5,7,1,9,2,10,Remote Work Tool
Associate's Degree,Web Developer,7,5,9,7,3,6,9,7,1,Collaboration Tool
MBA,Mechanic,1,2,1,2,5,1,10,9,8,Streaming Service
Master's Degree,Scientist,10,8,9,4,5,3,3,8,2,Artificial Intelligence Tool
Bachelor's Degree,Teacher,3,2,8,4,2,9,2,2,1,Travel App
High School,Sales Agent,7,5,1,6,3,2,0,5,4,Marketing Automation Tool
Master's Degree,Engineer,4,8,2,5,9,6,5,7,6,Travel App
Associate's Degree,Nurse,10,9,1,3,1,4,0,4,6,Communication Tool
Certification,Construction Manager,6,6,8,1,0,1,8,9,8,Augmented Reality App
Postdoctoral Studies,IT Consultant,5,9,9,1,4,4,5,3,4,Travel App
Certification,Teacher,1,8,7,6,5,8,1,1,4,Educational Platform
Self-Taught,Editor,7,6,4,4,2,3,5,1,3,CRM Tool
Vocational Training,Copywriter,0,4,10,1,1,4,3,3,7,Marketing Automation Tool
Professional Training,Gardener,8,5,8,0,2,2,10,6,4,Design Software
Vocational Training,Artist,5,7,3,2,6,8,2,3,3,HR Management Software
Bachelor's Degree,Product Manager,1,2,2,5,10,2,1,4,1,Finance & Accounting Software
Certification,Waiter,7,3,8,6,1,4,10,2,1,Streaming Service
Associate Degree,Unemployed,9,7,3,4,6,0,10,7,10,Remote Work Tool
Self-Taught,IT Consultant,5,10,9,2,4,0,6,8,5,Mobile App
Self-Taught,University Professor,1,4,0,4,4,1,6,5,4,E-learning Tool
PhD,Researcher,10,3,0,4,0,3,2,4,3,Augmented Reality App
Professional Training,Realtor,0,5,3,5,6,0,5,3,7,Productivity Tool
Bachelor's Degree,Software Engineer,1,8,9,7,1,0,9,1,0,SaaS Platform
Associate's Degree,Web Developer,9,6,1,8,6,3,9,9,4,Design Software
Associate's Degree,UX/UI Designer,8,1,10,3,1,3,7,5,5,Design Software
Postdoctoral Studies,Social Media Manager,0,4,3,1,0,5,1,2,5,Photo Editing Software
Associate's Degree,Photographer,7,3,10,0,4,6,8,9,0,Communication Tool
High School,Mechanic,4,8,3,6,5,2,9,9,1,Business Intelligence Software
MBA,Gardener,2,1,7,6,5,2,10,10,6,Cloud Storage
Master's Degree,University Professor,7,4,9,2,0,6,6,10,3,Educational Platform
High School,Gardener,7,2,3,4,0,4,1,9,8,E-learning Tool
Graduate Diploma,Mechanic,5,7,7,1,4,5,3,8,9,Personal Finance Tool
Master's Degree,Lawyer,1,3,8,5,1,0,2,0,5,Collaboration Tool
Self-Taught,Editor,6,4,7,3,3,5,8,9,0,Data Analytics Tool
High School,Gardener,10,9,6,5,3,3,4,3,4,Augmented Reality App
Doctoral Degree,Financial Analyst,9,7,8,5,5,6,7,7,3,CRM Tool
PhD,Engineer,5,10,10,6,7,2,8,2,7,Collaboration Tool
Master's Degree,Lawyer,2,6,1,1,1,2,9,5,5,Blockchain Platform
High School,Gardener,6,2,0,4,4,3,5,1,9,Mobile App
MBA,Financial Analyst,10,2,0,6,5,5,6,6,2,Blockchain Platform
Trade School,Construction Manager,3,10,7,2,4,3,3,10,9,Photo Editing Software
Trade School,Gardener,3,6,10,3,4,2,8,8,0,HR Management Software
Trade School,Public Speaker,6,9,7,1,3,2,10,1,8,Business Intelligence Software
MBA,Engineer,10,5,6,6,8,6,5,10,4,Streaming Service
PhD,Researcher,5,0,9,0,4,4,5,3,2,Enterprise Software
Vocational Training,Graphic Designer,10,3,8,5,3,5,6,3,0,Enterprise Software
High School,Sales Agent,10,4,1,0,1,5,7,7,10,Travel App
Master's Degree,Engineer,10,5,8,1,10,0,3,9,2,Video Editing Software
Professional Training,Civil Engineer,10,9,0,4,3,6,8,9,6,Educational Platform
Master's Degree,University Professor,5,10,0,4,5,5,9,8,0,Educational Platform
Vocational Training,Editor,1,8,5,6,0,0,10,9,0,Survey Platform
No Formal Education,Waiter,9,1,0,5,3,0,10,9,9,Virtual Reality Tool
Associate Degree,Mechanic,2,1,4,4,4,5,10,10,8,Augmented Reality App
Master's Degree,Lawyer,7,5,1,3,2,6,8,9,0,Mobile App
Certification,Investment Banker,4,5,7,0,0,3,7,1,2,HR Management Software
Master's Degree,Scientist,0,7,8,5,0,5,1,9,3,Mobile App
No Formal Education,Gardener,6,10,9,2,3,3,2,7,4,Food Delivery App
PhD,University Professor,2,6,9,6,4,6,10,3,3,Educational Platform
Bachelor's Degree,Data Scientist,7,7,4,10,6,4,5,1,5,Data Analytics Tool
Associate Degree,Pharmacist,0,10,7,1,0,0,8,0,10,Enterprise Software
Certification,Gardener,0,2,7,4,5,0,4,3,8,Web Application
Vocational Training,Engineer,2,2,0,5,10,0,1,5,6,Travel App
No Formal Education,Construction Worker,6,0,7,0,0,5,3,7,2,Communication Tool
Associate Degree,Business Analyst,3,4,4,3,1,3,7,9,2,Learning Management System
PhD,University Professor,2,5,6,5,0,4,8,2,1,CRM Tool
Trade School,Financial Analyst,2,9,0,2,1,4,9,6,9,CRM Tool
Professional Training,Project Manager,3,2,10,4,3,0,5,8,0,Blockchain Platform
Associate's Degree,Web Developer,2,10,9,10,5,2,1,5,6,Video Editing Software
High School,Construction Worker,5,2,5,3,5,4,10,9,3,Project Management Tool
Certification,University Professor,10,2,1,4,5,3,6,6,7,E-learning Tool
PhD,Scientist,6,6,7,3,2,1,5,5,3,Finance & Accounting Software
Vocational Training,Business Analyst,4,7,4,6,3,1,8,10,2,Virtual Reality Tool
Bachelor's Degree,Software Engineer,5,4,5,9,1,3,7,8,5,Enterprise Software
Trade School,HR Manager,1,10,2,5,5,5,6,0,7,Video Editing Software
Vocational Training,Physician,2,7,4,0,3,5,1,3,9,Augmented Reality App
Associate's Degree,UX/UI Designer,3,9,4,0,3,1,7,7,9,Mobile App
High School,Construction Worker,8,8,1,4,2,5,1,10,10,Project Management Tool
Graduate Diploma,Public Speaker,1,8,5,6,1,2,10,7,7,Gaming Platform
Professional Training,Tech CEO,0,9,2,0,8,6,7,0,7,Business Intelligence Software
Professional Training,Tourism Manager,1,1,6,2,5,3,4,6,6,CRM Tool
Trade School,Tech CEO,2,0,8,2,8,1,10,9,4,Business Intelligence Software
Trade School,Civil Engineer,10,1,5,4,0,5,2,0,8,Mobile App
Postdoctoral Studies,Freelance Designer,3,8,5,4,6,8,6,8,6,Design Software
Associate Degree,University Professor,7,10,3,3,3,0,1,9,4,CRM Tool
PhD,Scientist,2,7,5,0,4,4,9,10,9,Productivity Tool
No Formal Education,Gardener,5,2,4,5,4,5,5,0,9,Augmented Reality App
Master's Degree,Scientist,9,2,6,5,6,6,9,0,9,Business Intelligence Software
Postdoctoral Studies,Retail Worker,6,4,0,5,4,0,5,6,5,Mobile App
Vocational Training,Writer,8,8,7,4,2,0,10,1,6,Health & Fitness App
Postdoctoral Studies,Sales Agent,6,3,10,4,4,1,1,7,6,Virtual Reality Tool
Self-Taught,Financial Analyst,8,0,10,2,0,1,7,10,10,Cybersecurity Tool
Graduate Diploma,Editor,6,8,6,5,2,2,3,8,4,Video Editing Software
Postdoctoral Studies,Financial Analyst,3,5,10,0,4,1,6,9,1,Web Application
Self-Taught,Physician,1,10,8,3,4,3,7,5,3,Survey Platform
Self-Taught,Accountant,0,1,7,1,6,4,8,6,8,Cybersecurity Tool
Graduate Diploma,Gardener,10,4,6,3,3,6,0,10,8,HR Management Software
High School,Gardener,0,3,0,4,6,0,3,4,0,Music Production Software
Postdoctoral Studies,Graphic Designer,0,4,3,2,1,2,1,1,6,Travel App
Master's Degree,Lawyer,9,2,7,4,6,2,3,4,6,Collaboration Tool
MBA,Architect,6,6,7,1,0,0,10,6,2,Photo Editing Software
Graduate Diploma,Data Scientist,7,7,3,8,6,5,9,6,7,Business Intelligence Software
Postdoctoral Studies,Software Engineer,8,1,2,8,1,5,0,5,1,SaaS Platform
Certification,Freelance Designer,5,5,4,5,4,8,7,8,4,Video Editing Software
No Formal Education,Sales Agent,10,1,0,5,3,0,9,0,3,Blockchain Platform
No Formal Education,Construction Worker,6,7,10,1,0,5,1,6,6,Communication Tool
High School,Construction Worker,1,6,3,3,6,1,8,10,6,Communication Tool
Bachelor's Degree,Data Scientist,4,7,5,8,1,0,3,4,8,Artificial Intelligence Tool
Graduate Diploma,Editor,6,8,5,5,4,5,4,3,7,Web Application
Bachelor's Degree,Teacher,10,4,10,3,2,9,7,3,1,Customer Feedback Tool
Self-Taught,Architect,3,4,1,6,6,1,10,1,0,Health & Fitness App
MBA,Dentist,5,3,10,6,6,1,3,10,3,Food Delivery App
Certification,Sales Agent,6,7,5,1,6,4,1,5,5,Design Software
Certification,IT Consultant,5,2,0,4,3,2,9,1,10,E-commerce
Master's Degree,Engineer,2,9,1,2,10,3,8,1,3,Blockchain Platform
Bachelor's Degree,Teacher,7,5,0,5,2,10,6,4,0,Blockchain Platform
PhD,Researcher,9,8,1,0,3,5,1,4,7,Cloud Storage
Professional Training,Tech CEO,4,4,4,3,8,4,3,0,8,Project Management Tool
Self-Taught,Physician,2,9,3,4,0,2,2,7,10,Collaboration Tool
Associate's Degree,Nurse,6,7,7,2,4,6,6,3,4,Educational Platform
Master's Degree,Pharmacist,0,3,3,5,2,2,10,3,4,Marketing Automation Tool
Doctoral Degree,Nurse,0,8,3,0,3,6,8,4,10,Photo Editing Software
High School,Sales Agent,10,5,10,0,2,3,6,1,7,Learning Management System
Self-Taught,Graphic Designer,2,5,9,3,2,4,3,4,2,IoT Platform
PhD,University Professor,1,7,1,6,0,5,6,8,3,E-learning Tool
No Formal Education,Construction Worker,9,7,10,2,4,2,1,3,3,Project Management Tool
Postdoctoral Studies,Tech CEO,1,9,7,4,8,4,10,4,10,CRM Tool
Vocational Training,Writer,3,0,8,1,4,4,6,6,4,Streaming Service
No Formal Education,Waiter,6,1,3,6,5,3,2,3,0,Gaming Platform
Vocational Training,Gardener,8,7,9,0,4,0,9,5,4,Data Analytics Tool
Graduate Diploma,Project Manager,8,10,1,2,0,5,7,8,1,Artificial Intelligence Tool
Vocational Training,Editor,6,7,1,2,6,0,10,0,9,SaaS Platform
Vocational Training,Construction Manager,3,8,2,2,2,0,4,7,0,Business Intelligence Software
Trade School,Copywriter,4,2,9,4,1,5,0,5,3,Music Production Software
No Formal Education,Waiter,2,1,9,2,3,4,7,8,3,Music Production Software
Master's Degree,Scientist,9,6,4,0,2,4,1,6,8,Artificial Intelligence Tool
Bachelor's Degree,Teacher,7,6,2,1,5,8,7,7,8,Educational Platform
Graduate Diploma,Public Relations Specialist,9,7,3,3,1,6,6,0,7,Food Delivery App
Certification,Project Manager,10,6,3,0,5,6,6,7,1,Music Production Software
Master's Degree,Scientist,5,5,4,6,2,2,10,7,0,IoT Platform
Graduate Diploma,Nurse,2,2,0,1,5,1,0,5,10,Business Intelligence Software
Vocational Training,Construction Manager,8,4,3,1,3,1,4,10,5,Survey Platform
Self-Taught,Artist,0,4,1,0,2,10,1,5,8,Marketing Automation Tool
Trade School,Dentist,9,6,4,5,4,4,7,5,8,Health & Fitness App
Certification,Nurse,1,3,4,5,1,4,6,4,2,HR Management Software
No Formal Education,Sales Agent,4,7,4,1,3,0,4,3,5,SaaS Platform
Graduate Diploma,Construction Worker,0,1,8,6,2,3,9,0,10,Project Management Tool
PhD,Engineer,3,10,0,0,9,6,8,6,0,Communication Tool
PhD,Engineer,0,9,5,4,10,0,1,6,6,Educational Platform
Associate Degree,Public Relations Specialist,9,2,5,3,4,5,6,8,5,Enterprise Software
Self-Taught,Writer,7,2,9,3,0,4,9,10,6,Design Software
Trade School,Photographer,10,2,0,5,0,0,0,3,0,Enterprise Software
Graduate Diploma,HR Manager,3,10,0,0,5,6,7,7,6,CRM Tool
PhD,University Professor,2,7,0,6,6,1,5,4,8,E-learning Tool
No Formal Education,Sales Agent,5,5,3,0,0,3,4,5,4,Educational Platform
Professional Training,Data Scientist,4,5,2,8,6,2,9,7,2,Data Analytics Tool
Doctoral Degree,Scientist,8,9,1,2,0,1,6,9,9,Virtual Reality Tool
Doctoral Degree,Copywriter,5,6,7,6,6,5,5,10,0,HR Management Software
Master's Degree,Pharmacist,1,1,9,6,2,4,4,3,2,E-commerce
No Formal Education,Waiter,4,0,5,3,4,0,7,7,9,E-commerce
High School,Gardener,5,1,9,3,5,2,2,7,3,Survey Platform
Certification,Data Scientist,10,7,5,7,3,1,3,4,5,Artificial Intelligence Tool
Vocational Training,Pharmacist,6,6,9,2,0,6,0,4,6,Productivity Tool
PhD,Scientist,8,3,3,5,5,1,5,7,4,Real Estate Software
Associate's Degree,UX/UI Designer,1,5,0,1,2,0,7,9,3,Web Application
Master's Degree,Scientist,0,5,1,3,2,1,1,2,2,Health & Fitness App
Vocational Training,Teacher,1,7,0,3,1,8,0,9,5,Augmented Reality App
No Formal Education,Waiter,7,7,7,1,6,6,4,6,6,Customer Feedback Tool
No Formal Education,Waiter,1,3,1,6,6,6,3,5,1,Photo Editing Software
Doctoral Degree,Product Manager,4,5,2,4,10,0,1,7,6,Learning Management System
Associate's Degree,Web Developer,3,9,9,8,6,5,10,2,2,Augmented Reality App
Postdoctoral Studies,Construction Worker,6,10,9,3,0,2,9,7,6,Project Management Tool
Certification,Financial Analyst,0,1,1,4,0,3,1,3,9,Travel App
Associate's Degree,UX/UI Designer,9,10,8,3,2,1,7,7,3,Web Application
Postdoctoral Studies,Editor,2,8,7,0,2,4,6,1,3,Web Application
Vocational Training,Engineer,9,6,0,2,8,2,5,0,4,Enterprise Software
Master's Degree,Lawyer,10,4,5,2,5,2,3,8,10,Learning Management System
Trade School,HR Manager,7,6,6,1,3,5,2,3,0,Music Production Software
Vocational Training,Retail Worker,7,0,8,2,1,5,5,10,7,Food Delivery App
Graduate Diploma,Software Engineer,8,2,8,10,4,0,8,8,10,Artificial Intelligence Tool
Postdoctoral Studies,Civil Engineer,9,0,6,4,5,0,1,0,1,Web Application
No Formal Education,Construction Worker,10,10,9,2,3,6,10,6,2,Communication Tool
Graduate Diploma,Scientist,7,10,4,3,3,2,3,3,3,Remote Work Tool
Associate's Degree,Photographer,7,2,8,1,0,4,8,7,8,Learning Management System
MBA,Graphic Designer,1,2,0,5,0,5,5,2,10,Survey Platform
Trade School,Financial Analyst,5,0,5,6,6,3,7,7,0,CRM Tool
MBA,Realtor,8,8,3,0,0,5,1,9,8,Enterprise Software
Professional Training,Physician,10,8,9,6,0,1,0,8,3,IoT Platform
Trade School,Freelance Designer,8,1,0,5,5,8,10,0,6,Design Software
Doctoral Degree,Scientist,9,6,10,6,0,5,5,5,1,Communication Tool
Certification,Data Scientist,10,2,10,9,5,4,4,7,0,Artificial Intelligence Tool
Postdoctoral Studies,Lawyer,3,0,9,2,2,2,2,10,6,Design Software
Graduate Diploma,Data Scientist,10,3,10,7,2,6,1,3,1,Data Analytics Tool
PhD,University Professor,5,7,3,2,0,6,4,8,6,CRM Tool
Vocational Training,Financial Analyst,0,7,9,2,2,3,5,2,5,Blockchain Platform
Doctoral Degree,Data Scientist,1,0,4,7,3,2,7,6,7,Data Analytics Tool
Vocational Training,Customer Support,10,9,0,2,2,6,9,3,10,HR Management Software
PhD,Engineer,9,0,3,1,7,2,0,10,6,Photo Editing Software
Trade School,IT Consultant,6,1,4,3,3,0,8,4,5,Music Production Software
Professional Training,Software Engineer,4,5,4,7,4,3,0,0,6,SaaS Platform
High School,Mechanic,2,6,7,3,3,2,7,5,4,Collaboration Tool
Vocational Training,Project Manager,10,5,7,0,3,0,3,10,8,Travel App
PhD,Engineer,1,3,8,1,9,4,0,3,6,Cybersecurity Tool
Vocational Training,Nurse,7,5,6,5,0,2,8,2,3,Music Production Software
Professional Training,Product Manager,7,2,10,6,10,4,2,1,5,Streaming Service
No Formal Education,Waiter,7,0,1,3,5,1,8,6,9,E-commerce
High School,Retail Worker,3,6,10,6,4,0,5,9,9,Mobile App
Self-Taught,Data Scientist,2,3,3,9,2,3,9,4,0,Data Analytics Tool
MBA,Architect,10,9,5,5,0,4,6,1,7,Virtual Reality Tool
PhD,Engineer,8,8,9,6,8,2,5,8,5,HR Management Software
Trade School,Web Developer,7,7,2,8,5,3,9,9,10,Remote Work Tool
Master's Degree,Engineer,6,0,1,4,7,5,4,7,0,Food Delivery App
High School,Sales Agent,10,6,2,3,1,5,0,10,6,Photo Editing Software
Bachelor's Degree,Architect,4,3,1,0,5,0,0,10,8,Mobile App
Bachelor's Degree,Teacher,7,4,2,0,4,9,8,9,6,Health & Fitness App
Vocational Training,Investment Banker,9,8,6,3,4,6,1,7,6,Cloud Storage
Bachelor's Degree,Teacher,10,5,10,4,6,7,5,7,7,Food Delivery App
Trade School,Dentist,7,10,3,3,4,3,4,2,1,Photo Editing Software
MBA,Tourism Manager,1,9,9,3,1,2,6,10,5,Design Software
Trade School,Retail Worker,2,8,4,2,4,4,7,5,1,Food Delivery App
MBA,Web Developer,3,7,0,7,5,6,5,8,0,HR Management Software
Postdoctoral Studies,Construction Manager,3,7,5,0,5,2,1,5,4,Remote Work Tool
Professional Training,Product Manager,9,7,10,0,9,5,3,7,0,IoT Platform
Associate Degree,Retail Worker,9,2,0,4,5,5,5,10,4,E-commerce
PhD,Researcher,0,10,3,6,4,5,0,6,6,Virtual Reality Tool
Certification,Freelance Designer,8,10,3,5,0,9,5,7,6,Video Editing Software
PhD,Researcher,2,7,9,6,5,0,3,8,6,E-learning Tool
Self-Taught,Civil Engineer,0,5,9,2,5,0,4,7,3,Gaming Platform
Professional Training,Electrician,8,5,3,2,3,3,6,4,1,Mobile App
Certification,Engineer,3,1,4,0,10,3,8,5,5,SaaS Platform
MBA,Product Manager,8,0,7,6,8,3,0,10,9,E-learning Tool
Doctoral Degree,Photographer,8,0,9,0,6,0,2,4,0,Music Production Software
Postdoctoral Studies,Dentist,4,7,7,3,2,3,2,8,3,IoT Platform
Doctoral Degree,Construction Worker,8,9,1,6,6,0,5,9,4,Communication Tool
PhD,Engineer,0,3,8,4,9,4,7,7,9,Music Production Software
Doctoral Degree,Editor,7,1,5,2,3,1,5,9,1,Business Intelligence Software
No Formal Education,Sales Agent,6,1,8,5,6,0,7,10,1,Cybersecurity Tool
High School,Retail Worker,7,0,2,4,1,2,5,9,3,Mobile App
Certification,Electrician,0,10,3,0,2,5,0,7,1,Travel App
High School,Retail Worker,9,7,0,5,6,0,3,2,5,Food Delivery App
No Formal Education,Construction Worker,1,6,1,3,0,3,2,8,9,Project Management Tool
Associate's Degree,UX/UI Designer,3,5,1,5,5,1,1,6,6,Mobile App
Associate Degree,Social Worker,1,5,9,2,2,2,4,7,7,Mobile App
PhD,Researcher,1,10,9,1,3,5,9,8,6,Music Production Software
Certification,Architect,3,3,3,5,6,6,0,0,10,Augmented Reality App
PhD,Scientist,9,1,10,5,4,5,1,1,10,Mobile App
Doctoral Degree,Product Manager,8,6,1,0,9,0,7,5,3,Customer Feedback Tool
Master's Degree,University Professor,7,10,8,4,3,0,0,3,7,CRM Tool
Postdoctoral Studies,Social Worker,9,3,7,4,4,5,9,4,3,Gaming Platform
Postdoctoral Studies,Retail Worker,1,0,2,1,1,5,8,1,9,E-commerce
Associate's Degree,Nurse,1,7,8,5,3,6,4,7,0,Business Intelligence Software
High School,Gardener,3,10,4,3,5,4,4,10,1,HR Management Software
Certification,Scientist,10,4,9,5,3,6,0,0,8,Communication Tool
Self-Taught,Copywriter,3,2,0,1,5,5,1,0,5,SaaS Platform
Vocational Training,Project Manager,3,0,2,4,2,5,9,6,10,Educational Platform
Vocational Training,Tourism Manager,0,8,2,6,1,4,6,3,1,Real Estate Software
High School,Gardener,2,5,10,1,2,5,2,8,6,E-learning Tool
Associate Degree,Event Planner,3,1,2,2,5,6,6,3,0,Travel App
